"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Muskogee, OK Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,262","25.6%","43.6%","30.9%","0.0%","46,771","3.5%","9.6%","37.1%","21.9%","8.7%","14.0%","5.1%","86.8%","19.2%","9,223","86.8%","13.3%","9,038","87.8%","22.9%","17,944","89.7%","20.2%","10,566","81.2%","19.3%","","24.3%","17.6%","12.9%","4.9%","","30,730","22,058","26,679","29,052","38,218","46,610","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,442","29.6%","46.1%","24.3%","0.0%","21,987","3.9%","9.6%","40.0%","22.8%","6.7%","12.6%","4.5%","86.5%","17.1%","4,322","88.3%","10.2%","4,215","87.6%","15.4%","8,993","88.6%","17.4%","4,457","79.5%","24.9%","","25.2%","11.1%","10.2%","2.7%","","38,581","25,116","34,589","36,184","51,472","91,308","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,820","20.6%","40.5%","38.9%","0.0%","24,784","3.2%","9.7%","34.5%","21.1%","10.5%","15.3%","5.7%","87.1%","21.0%","4,901","85.5%","16.0%","4,823","87.9%","29.5%","8,951","90.7%","23.1%","6,109","82.5%","15.3%","","23.4%","24.4%","15.0%","6.5%","","24,761","19,283","17,834","25,209","30,638","42,119","","(X)"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,964","15.9%","26.3%","49.7%","8.0%","295,817","4.7%","8.3%","29.8%","24.9%","9.7%","15.1%","7.6%","87.1%","22.7%","47,812","83.8%","19.8%","47,358","85.4%","20.5%","114,633","90.1%","23.4%","86,014","85.8%","24.7%","","28.3%","16.9%","10.6%","6.6%","","26,012","20,182","20,407","26,439","36,472","50,816","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,416","15.6%","26.4%","51.5%","6.5%","142,118","5.5%","9.0%","28.1%","24.5%","9.0%","15.9%","7.9%","85.5%","23.8%","24,514","80.7%","14.5%","23,485","80.7%","18.2%","53,126","87.9%","23.2%","40,993","87.9%","33.5%","","24.2%","13.1%","6.8%","5.1%","","29,926","21,081","23,563","31,071","41,108","49,514","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,548","16.3%","26.2%","48.1%","9.4%","153,699","3.9%","7.5%","31.3%","25.3%","10.3%","14.4%","7.3%","88.6%","21.7%","23,298","87.1%","25.4%","23,873","90.1%","22.7%","61,507","91.9%","23.6%","45,021","84.0%","16.7%","","33.2%","19.9%","13.8%","8.1%","","21,964","16,195","17,323","21,634","32,489","50,903","","(X)"
"Nacogdoches, TX Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,025","11.1%","23.9%","59.3%","5.7%","37,013","8.8%","14.2%","28.3%","17.8%","5.8%","12.6%","12.5%","77.0%","25.1%","8,081","73.3%","21.4%","6,145","81.2%","35.0%","14,255","77.3%","23.9%","8,532","76.9%","23.4%","","39.6%","22.6%","16.7%","9.1%","","30,711","12,042","23,887","30,208","46,001","58,096","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,489","5.8%","27.3%","62.4%","4.5%","17,810","11.0%","13.8%","31.0%","15.5%","4.1%","12.3%","12.3%","75.1%","24.5%","4,328","64.8%","19.5%","3,427","80.4%","30.1%","6,771","75.6%","22.6%","3,284","82.3%","29.3%","","39.4%","19.7%","11.5%","10.8%","","40,663","15,016","40,496","42,457","56,230","60,090","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,536","14.9%","21.4%","57.1%","6.6%","19,203","6.8%","14.5%","25.8%","19.9%","7.4%","13.0%","12.6%","78.7%","25.6%","3,753","83.1%","23.6%","2,718","82.1%","41.2%","7,484","78.9%","25.1%","5,248","73.4%","19.8%","","39.8%","25.8%","20.2%","7.6%","","24,758","11,475","15,427","26,038","34,995","58,050","","(X)"
"Napa, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,032","14.2%","30.7%","51.6%","3.5%","96,088","9.9%","5.3%","18.8%","24.5%","9.3%","22.3%","10.0%","84.8%","32.2%","17,520","86.0%","23.4%","17,315","75.9%","32.5%","38,168","86.9%","34.1%","23,085","87.1%","35.6%","","15.3%","10.6%","6.4%","4.3%","","35,979","23,556","24,708","36,402","55,866","77,459","","7.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,755","18.5%","35.9%","42.7%","3.0%","46,951","8.5%","6.2%","19.1%","26.1%","8.9%","20.0%","11.1%","85.3%","31.1%","9,023","85.8%","16.9%","8,560","77.2%","27.2%","18,833","86.5%","33.8%","10,535","89.2%","41.5%","","6.4%","7.3%","5.5%","2.2%","","40,893","29,339","29,463","40,562","66,996","99,732","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,277","9.6%","25.2%","61.2%","4.0%","49,137","11.3%","4.3%","18.4%","23.0%","9.6%","24.4%","8.9%","84.3%","33.3%","8,497","86.2%","30.2%","8,755","74.6%","37.6%","19,335","87.3%","34.4%","12,550","85.3%","30.7%","","23.1%","14.0%","7.2%","6.2%","","30,716","19,397","20,651","31,689","50,123","65,339","","(X)"
"Naples-Immokalee-Marco Island, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,489","16.6%","36.9%","39.4%","7.1%","252,800","6.9%","5.5%","28.3%","17.8%","9.1%","17.6%","14.8%","87.6%","32.4%","34,212","81.1%","23.0%","35,029","85.1%","28.3%","86,451","87.7%","28.2%","97,108","90.7%","40.9%","","23.5%","12.6%","7.9%","6.0%","","29,730","20,575","25,188","30,900","39,682","63,051","","8.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,211","18.3%","46.2%","30.6%","4.9%","122,591","7.8%","5.6%","25.0%","15.1%","8.8%","19.3%","18.4%","86.6%","37.7%","18,445","78.8%","20.2%","16,672","81.4%","27.8%","40,791","86.1%","31.5%","46,683","91.9%","53.5%","","25.3%","12.6%","5.7%","4.1%","","33,813","22,391","28,643","35,499","47,600","78,999","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,278","14.7%","26.9%","48.9%","9.4%","130,209","6.0%","5.4%","31.4%","20.4%","9.4%","16.0%","11.4%","88.5%","27.4%","15,767","83.7%","26.3%","18,357","88.5%","28.8%","45,660","89.1%","25.2%","50,425","89.5%","29.2%","","21.6%","12.7%","9.5%","8.5%","","25,209","15,467","21,163","25,117","33,140","42,035","","(X)"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","172,345","12.8%","32.6%","42.9%","11.7%","1,165,709","4.4%","7.5%","28.6%","20.6%","6.7%","21.0%","11.3%","88.2%","32.3%","258,745","90.4%","39.9%","244,468","89.1%","36.3%","455,725","89.6%","29.4%","206,771","81.1%","24.2%","","26.1%","12.1%","9.5%","4.0%","","35,433","20,276","27,496","32,410","45,718","60,082","","6.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86,735","14.9%","36.1%","40.9%","8.1%","559,085","4.6%","8.0%","29.0%","20.6%","5.4%","21.8%","10.6%","87.4%","32.3%","126,121","88.9%","36.4%","120,729","87.4%","33.3%","222,165","88.6%","29.7%","90,070","82.1%","31.8%","","22.5%","10.7%","7.4%","3.4%","","39,253","21,988","31,426","36,846","51,511","81,617","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85,610","10.7%","29.1%","44.9%","15.3%","606,624","4.1%","7.0%","28.3%","20.5%","7.9%","20.3%","11.9%","88.9%","32.2%","132,624","91.9%","43.1%","123,739","90.7%","39.3%","233,560","90.6%","29.2%","116,701","80.3%","18.4%","","29.9%","13.4%","11.2%","4.7%","","31,200","15,886","23,310","30,139","40,162","49,895","","(X)"
"New Bern, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,443","9.1%","35.5%","53.8%","1.5%","85,090","4.9%","9.4%","28.8%","26.7%","11.3%","11.4%","7.5%","85.7%","18.9%","17,228","86.1%","14.3%","14,599","85.3%","16.2%","30,389","88.9%","22.5%","22,874","81.6%","19.3%","","22.4%","11.8%","12.7%","3.7%","","30,679","14,505","29,150","31,296","40,575","55,430","","4.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,301","12.3%","39.9%","46.0%","1.8%","41,050","5.2%","10.8%","27.8%","29.9%","9.4%","9.8%","7.0%","84.0%","16.8%","9,598","81.7%","10.8%","7,248","86.7%","13.0%","14,235","86.7%","20.1%","9,969","80.2%","20.8%","","15.0%","8.1%","9.2%","0.0%","","36,400","16,536","35,438","38,115","60,885","72,031","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,142","4.2%","28.9%","65.8%","1.0%","44,040","4.5%","8.1%","29.8%","23.7%","13.1%","12.9%","7.9%","87.4%","20.8%","7,630","91.5%","18.8%","7,351","83.9%","19.4%","16,154","90.8%","24.5%","12,905","82.6%","18.2%","","30.6%","14.9%","16.1%","6.4%","","25,879","12,064","23,876","25,507","27,094","41,346","","(X)"
"New Castle, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,278","16.6%","32.7%","39.1%","11.5%","63,921","3.4%","7.1%","45.4%","15.5%","10.0%","11.9%","6.7%","89.5%","18.6%","9,478","92.1%","26.7%","10,043","96.5%","26.4%","26,811","93.2%","18.1%","17,589","78.4%","10.6%","","27.8%","11.3%","8.8%","4.2%","","32,068","19,068","26,754","31,022","50,000","57,989","","8.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,668","19.4%","34.3%","39.1%","7.1%","30,616","3.8%","7.8%","42.0%","16.7%","10.2%","12.7%","6.9%","88.4%","19.6%","5,124","90.1%","22.5%","4,853","98.1%","25.7%","13,322","91.2%","18.5%","7,317","75.6%","15.4%","","31.7%","12.7%","6.8%","2.1%","","40,577","19,810","39,071","40,363","52,668","56,875","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,610","13.8%","31.1%","39.1%","16.0%","33,305","3.1%","6.4%","48.5%","14.5%","9.8%","11.3%","6.5%","90.5%","17.7%","4,354","94.5%","31.7%","5,190","95.1%","27.1%","13,489","95.1%","17.7%","10,272","80.3%","7.1%","","23.1%","10.2%","10.8%","6.3%","","25,022","18,535","20,424","22,589","39,782","60,218","","(X)"
"New Haven-Milford, CT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,077","13.5%","28.4%","46.2%","11.9%","591,400","4.5%","5.7%","30.8%","18.0%","7.4%","18.3%","15.3%","89.8%","33.5%","112,406","93.7%","42.1%","106,064","93.2%","36.3%","240,828","91.1%","32.9%","132,102","81.4%","25.2%","","26.4%","14.2%","9.2%","4.5%","","41,248","22,968","31,822","37,133","52,749","69,486","","7.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,641","17.7%","30.6%","40.2%","11.5%","278,353","5.0%","5.4%","31.8%","16.9%","7.0%","18.6%","15.3%","89.6%","33.9%","55,194","92.2%","37.9%","51,248","91.8%","34.2%","116,078","90.9%","33.2%","55,833","82.2%","30.8%","","25.7%","12.8%","6.2%","3.6%","","50,239","24,619","39,806","46,358","61,969","80,869","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,436","9.2%","26.1%","52.2%","12.4%","313,047","4.0%","6.0%","29.9%","19.1%","7.8%","18.0%","15.3%","90.0%","33.2%","57,212","95.1%","46.1%","54,816","94.6%","38.3%","124,750","91.2%","32.5%","76,269","80.8%","21.1%","","27.0%","15.5%","11.6%","5.3%","","35,465","20,660","26,376","32,019","43,034","60,623","","(X)"
"New Orleans-Metairie, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","113,394","22.6%","28.3%","39.8%","9.3%","846,317","5.4%","9.8%","29.0%","22.6%","5.7%","17.1%","10.3%","84.8%","27.4%","186,884","86.9%","31.9%","156,815","86.1%","30.7%","337,446","85.9%","25.6%","165,172","78.9%","23.0%","","32.0%","16.6%","13.1%","6.1%","","33,220","18,406","26,756","31,931","43,375","60,493","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55,819","26.9%","31.3%","33.4%","8.4%","402,642","6.2%","10.7%","29.0%","22.3%","4.9%","16.3%","10.7%","83.1%","26.9%","91,481","85.0%","28.0%","75,883","83.3%","29.4%","164,073","83.7%","24.7%","71,205","78.9%","27.9%","","25.8%","12.2%","8.4%","5.6%","","40,676","22,779","33,242","41,000","53,433","76,555","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,575","18.5%","25.5%","45.9%","10.1%","443,675","4.7%","9.0%","29.1%","23.0%","6.4%","17.9%","10.0%","86.3%","27.9%","95,403","88.7%","35.7%","80,932","88.8%","31.8%","173,373","87.9%","26.5%","93,967","78.9%","19.3%","","38.8%","20.5%","17.0%","6.6%","","26,914","13,487","20,667","25,783","39,671","50,480","","(X)"
"New Philadelphia-Dover, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,834","17.0%","46.5%","31.1%","5.5%","63,501","3.6%","8.4%","47.7%","18.0%","7.4%","9.9%","4.9%","88.0%","14.9%","10,075","93.4%","21.8%","10,829","92.5%","23.9%","26,162","88.5%","12.6%","16,435","80.8%","8.2%","","16.2%","11.2%","12.1%","8.5%","","30,322","24,821","25,686","31,847","37,292","60,091","","7.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,285","21.0%","46.7%","31.6%","0.8%","30,420","3.9%","9.2%","50.2%","18.1%","5.5%","7.7%","5.4%","87.0%","13.1%","5,111","94.7%","18.1%","5,314","92.3%","23.2%","13,080","87.9%","10.3%","6,915","75.6%","7.1%","","12.1%","9.9%","10.5%","4.7%","","37,439","31,931","31,649","39,043","61,705","61,382","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,549","12.2%","46.2%","30.4%","11.1%","33,081","3.4%","7.7%","45.3%","18.0%","9.2%","11.9%","4.5%","88.9%","16.4%","4,964","92.0%","25.6%","5,515","92.7%","24.6%","13,082","89.2%","15.0%","9,520","84.7%","8.9%","","20.7%","12.5%","13.3%","11.2%","","22,966","6,682","16,714","29,192","29,176","58,358","","(X)"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,868,448","13.5%","26.1%","44.6%","15.8%","13,651,108","7.6%","7.1%","25.6%","15.4%","6.8%","21.9%","15.5%","85.3%","37.4%","2,880,212","89.3%","46.1%","2,686,793","87.4%","42.5%","5,313,962","86.6%","35.8%","2,770,141","76.6%","26.9%","","27.6%","14.7%","10.7%","5.0%","","42,103","20,551","30,537","38,062","58,621","78,017","","9.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","947,169","16.0%","28.5%","42.0%","13.5%","6,437,467","7.5%","7.4%","25.7%","15.9%","6.0%","22.2%","15.2%","85.0%","37.4%","1,424,376","87.8%","41.8%","1,316,025","86.2%","39.6%","2,542,801","86.1%","36.0%","1,154,265","78.1%","32.5%","","23.4%","12.5%","8.7%","4.4%","","50,089","23,070","36,050","45,488","69,588","95,175","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
